element,oxidation,radius_pm
H,-1,139.9
H,1,-18
Li,1,76
Be,2,45
B,3,27
C,4,16
N,-3,146
N,3,16
N,5,13
O,-2,140
F,-1,133
F,7,8
Na,1,102
Mg,2,72
Al,3,53.5
Si,4,40
P,-3,212
P,3,44
P,5,38
S,-2,184
S,4,37
S,6,29
Cl,-1,181
Cl,5,12
Cl,7,27
K,1,138
Ca,2,100
Sc,3,74.5
Ti,2,86
Ti,3,67
Ti,4,60.5
V,2,79
V,3,64
V,4,58
V,5,54
Cr,2,73
Cr,3,61.5
Cr,4,55
Cr,5,49
Cr,6,44
Cr,2,80
Mn,2,67
Mn,3,58
Mn,4,53
Mn,5,33
Mn,6,25.5
Mn,7,46
Mn,2,83
Mn,3,64.5
Fe,2,61
Fe,3,55
Fe,4,58.5
Fe,6,25
Fe,2,78
Fe,3,64.5
Co,2,65
Co,3,54.5
Co,2,74.5
Co,3,61
Co,4,53
Ni,2,69
Ni,3,56
Ni,4,48
Ni,3,60
Cu,1,77
Cu,2,73
Cu,3,54
Zn,2,74
Ga,3,62
Ge,2,73
Ge,4,53
As,3,58
As,5,46
Se,-2,198
Se,4,50
Se,6,42
Br,-1,196
Br,3,59
Br,5,31
Br,7,39
Rb,1,152
Sr,2,118
Y,3,90
Zr,4,72
Nb,3,72
Nb,4,68
Nb,5,64
Mo,3,69
Mo,4,65
Mo,5,61
Mo,6,59
Tc,4,64.5
Tc,5,60
Tc,7,56
Ru,3,68
Ru,4,62
Ru,5,56.5
Ru,7,38
Ru,8,36
Rh,3,66.5
Rh,4,60
Rh,5,55
Pd,-2,59
Pd,2,86
Pd,3,76
Pd,4,61.5
Ag,1,115
Ag,2,94
Ag,3,75
Cd,2,95
In,3,80
Sn,2,102
Sn,4,69
Sb,3,76
Sb,5,60
Te,-2,221
Te,4,97
Te,6,56
I,-1,220
I,3,95
I,5,53
Xe,8,48
Cs,1,167
Ba,2,135
La,3,103.2
Ce,3,101
Ce,4,87
Pr,3,99
Pr,4,85
Nd,3,98.3
Nd,3,129
Pm,3,97
Sm,3,95.8
Sm,3,122
Eu,2,117
Eu,3,94.7
Gd,3,93.5
Tb,3,92.3
Tb,4,76
Dy,2,107
Dy,3,91.2
Ho,3,90.1
Er,3,89
Tm,2,103
Tm,3,88
Yb,2,102
Yb,3,86.8
Lu,3,86.1
Hf,4,71
Ta,3,72
Ta,4,68
Ta,5,64
W,4,66
W,5,62
W,6,60
Re,4,63
Re,5,58
Re,6,55
Re,7,53
Os,4,63
Os,5,57.5
Os,6,54.5
Os,7,52.5
Os,8,39
Ir,3,68
Ir,4,62.5
Ir,5,57
Pt,2,80
Pt,4,62.5
Pt,6,57
Au,1,137
Au,3,85
Au,5,57
Hg,1,119
Hg,2,102
Tl,1,150
Tl,3,88.5
Pb,2,119
Pb,4,77.5
Bi,3,103
Bi,5,76
Po,-2,223
Po,4,94
Po,6,67
At,5,62
Fr,1,180
Ra,2,148
Ac,3,106.5
Ac,3,122
Th,4,94
Pa,3,104
Pa,4,90
Pa,5,78
U,3,102.5
U,4,89
U,5,76
U,6,73
Np,3,110
Np,4,101
Np,5,87
Np,6,75
Np,7,72
Np,8,71
Pu,3,100
Pu,4,86
Pu,5,74
Pu,6,71
Am,2,126
Am,3,97.5
Am,4,85
Cm,3,97
Cm,4,85
Bk,3,96
Bk,4,83
Cf,3,95
Cf,4,82.1
Es,3,83.5
